first ,last,discipline,Dept. ,title,CSU/UC,campus,#proj,Image
Xiaofeng,Liu,Aerospace Engineering,Department of Aerospace Engineering,Assistant Professor,CSU,San Diego,4,https://aerospace.sdsu.edu/_resources/images/_faculty/liu.png
Sahar,Ghanipoor Machiani,PhD in Civil Engineering,"Civil, Construction, and Environmental Engineering",Assistant Professor,CSU,San Diego,7,N\A
Erica,Forsberg,Chemical Biology,Chemistry and Biochemistry,Assistant Professor,CSU,San Diego,4,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=j5ESzOkAAAAJ&citpid=1
Jillian,Maloney,Earth Science,Geological Sciences,Assistant Professor,CSU,San Diego,3,https://geology.sdsu.edu/wp-content/uploads/2014/02/Jillian-Maloney-2-300x225.jpg
Melody K,Schiaffino,Health Services Research,School of Public Health,Assistant Professor,CSU,San Diego,0,https://ph.ucsd.edu/_images/jdp/sdsu-faculty/schiaffino.jpg
Felisha,Herrera Villarreal,STEM Education,Postsecondary Education,Assistant Professor,CSU,San Diego,,N\A
Yawen,Li,PhD in social work,School of Social Work,Associate Professor,CSU,San Diego,,https://socialwork.sdsu.edu/wp-content/uploads/2011/11/yawen-li-sm.jpg
Tracy,Finlayson,Public Health,", Division of Health Management and Policy in the School of Public Health",Associate Professor,CSU,San Diego,10,https://publichealth.sdsu.edu/wp-content/uploads/2013/06/finlayson-tracy-2014-sm-110x150.jpg
Eyal,Oren,Epidemiology,Graduate School of Public Health,Associate Professor,CSU,San Diego,4,https://publichealth.sdsu.edu/wp-content/uploads/2017/08/eyal-e1501690777319-300x300.png
Heather,Corliss,Epidemiology,Graduate School of Public Health,Full Professor,CSU,San Diego,5,https://publichealth.sdsu.edu/wp-content/uploads/2013/10/corliss.jpg
Violet,Bumah,Biochemistry,Department of Chemistry and Biochemistry,Full Researcher,CSU,San Diego,3,https://scholar.google.com/citations/images/avatar_scholar_128.png
Shannon Klotsko,Klotsko,Earth Sciences,Geological Sciences,Post-Doctoral Scholar,CSU,San Diego,4,N\A
Tse Nga Tina,Ng,Physical Chemistry,Electrical and Computer Engineering,Associate Professor,UC,San Diego,2,N\A
Robina,Shaheen,Atmospheric Chemistry,Chemistry and Biochemistry,Associate Researcher,UC,San Diego,,https://earthlab.colorado.edu/sites/default/files/styles/square_med/public/media/image/shaheen.PNG?itok=HJ9mrwQh
AlisonC,Coil,Astrophysics,Physics,Full Professor,UC,San Diego,5,https://www.benefunder.com/sites/default/files/content/cause/picture/Alison%20Coil.jpg
Ekaterina,Evdokimenko,Materials Science and Engineering,Mechanical and Aerospace Engineering,Post-Doctoral Scholar,UC,San Diego,5,N\A
Andrew,Johnson,Marine fisheries ecology,Marine Biology Research Division,Post-Doctoral Scholar,UC,San Diego,3,http://www.apjdivorcelawyers.com/wp-content/uploads/2018/03/find-us-on-avvo-120px.png
Somayeh,Sabouri,Immunology,,Post-Doctoral Scholar,UC,San Diego,2,https://www.lji.org/wp-content/uploads/2017/10/Somayeh-Sabouri-IM-1.png
Stephanie,Rogers,"MD, MPH, MS",Medicine,Assistant Professor,UC,San Francisco,3,N\A
Stacy,Torres,Sociology,Sociology,Assistant Professor,UC,San Francisco,0,https://www.google.com/s2/favicons?domain=https://scienceofcaring.ucsf.edu/research/understanding-irreplaceable-role-mom-and-pop-spaces-aging-adults-conversation-stacy-torres
Jae,Sevelius,Clinical Psychology,Medicine,Associate Professor,UC,San Francisco,5,https://lsa.umich.edu/content/michigan-lsa/ncid/en/people/diversity-scholars-directory/jae-m-sevelius/jcr:content/profileImage.transform/profile_portrait/image.jpg
Dorie,Apollonio,Political Science/Health Policy,Clinical Pharmacy,Associate Professor,UC,San Francisco,7,https://bat.bing.com/action/0?ti=20265471&tm=gtm002&Ver=2&mid=345a53fd-3ea4-4321-b7f1-5a7a8b1f1cd1&sid=0dcac5b0c45211ec980b1fae93f71020&vid=0dcac5e0c45211eca8a02318467a1637&vids=1&pi=918639831&lg=en-US&sw=1280&sh=1024&sc=24&tl=Dorie%20Apollonio%20%7C%20UC%20Hastings%20Law%20%7C%20San%20Francisco&p=https%3A%2F%2Fwww.uchastings.edu%2Fpeople%2Fdorie-apollonio%2F&r=&lt=1887&evt=pageLoad&msclkid=N&sv=1&rn=759016
Juleen,Lam,Environmental public health,"Obstetrics, Gynecology and Reproductive Sciences",Associate Researcher,UC,San Francisco,7,https://www.csueastbay.edu/directory/profiles/files/images/hsc/juleen-lam.jpg
James,Buckwalter,Electrical Engineering,Electrical and Computer Engineering,Full Professor,UC,San Francisco,,https://engineering.ucsb.edu/sites/default/files/styles/people_thumb_small/public/people/images/JamesBuckwalter.jpg?itok=RfBeWdLb&c=87e135a113d343388f0766b41238da5c
Odessa,Yabut,Developmental Biology,Neurology,Instructor,UC,San Francisco,2,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=SMpHWccAAAAJ&citpid=1
Sarine,Markossian,Molecular Genetics,Department of Pharmaceutical Chemistry,Other - Full Specialist,UC,San Francisco,2,N\A
Timothy,Galan,Orthopaedic Surgery Residendy Program,Orthopaedic Surgery,Other - UCSF Fresno Resident,UC,San Francisco,,https://s3.amazonaws.com/syk.patients.stryker.com.surgeons.prod/surgeons/avatars/000/005/270/small/galan_photo.jpg?1579711966
Navneet,Matharu,Molecular biology,Bioengineering and therapeutics Sciences,Post-Doctoral Scholar,UC,San Francisco,,https://innovativegenomics.org/wp-content/uploads/2019/06/Navneet-Matharu-IGIheadshot-300x300.jpg
Kelly,Bennion,Psychology (concentration in Cognitive Neuroscience),Psychology and Child Development,Assistant Professor,CSU,San Luis Obispo,5,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=nDnwDiQAAAAJ&citpid=2
STHANU,MAHADEV,Mechanical Engineering,Mechanical Engineering,Assistant Professor,CSU,San Luis Obispo,2,https://www.coursehero.com/assets/img/user_account_icon.svg
Jean,Peterson,Viticulture,Wine and Viticulture,Assistant Professor,CSU,San Luis Obispo,4,https://content-calpoly-edu.s3.amazonaws.com/wvit/1/images/faculty_staff/IMG_6486.jpeg
Ashley,Ringer McDonald,Physical Chemistry,Chemistry and Biochemistry,Assistant Professor,CSU,San Luis Obispo,3,N\A
Ike,Kang,,Animal Science,Associate Professor,CSU,San Luis Obispo,0,https://content-calpoly-edu.s3.amazonaws.com/animalscience/1/images/Ike%20Kang.jpg
Lizabeth,Schlemer,Education,Industrial and Manufacurting Engineering,Full Professor,CSU,San Luis Obispo,10,https://content-calpoly-edu.s3.amazonaws.com/ime/1/images/mezzanine-media/images/liz.png
Saeed,Niku,Mechanical Engineering,Mechanical Engineering,Full Professor,CSU,San Luis Obispo,,https://me.calpoly.edu/wp-content/uploads/2021/07/Niku-Saeed.jpg
Elinne,Becket,Molecular Biology,Biological Sciences,Assistant Professor,CSU,San Marcos,12,https://www.csusm.edu/biology/images/dir/ebecket.jpg
Robert,Iafe,Organic chemistry,Chemistry & Biochemistry,Assistant Professor,CSU,San Marcos,1,https://faculty.csusm.edu/riafe/images/riafe.jpg
Stephen,Tsui,Condensed Matter Physics,Physics,Associate Professor,CSU,San Marcos,4,https://faculty.csusm.edu/tsui/images/tsui.jpg
Zachary,Eilon,Geophysics (Earth Science),Earth Science,Assistant Professor,UC,Santa Barbara,1,N\A
Julia,Lowndes,Biology,NCEAS,Assistant Researcher,UC,Santa Barbara,1,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=qr9gICIAAAAJ&citpid=3
Carrie,Kappel,PhD,NCEAS,Associate Researcher,UC,Santa Barbara,16,https://0.academia-photos.com/1274955/468105/1174322/s200_carrie.v._kappel.jpg
Michael,Nava,PhD Statistics,Statistics & Applied Probability,Lecturer,UC,Santa Barbara,1,N\A
Jane,Mi,"MFA - Design Media Arts, MSE - Ocean Engineering",Art,Lecturer,UC,Santa Barbara,10,N\A
Siddharth,Narayan,Coastal Engineering and Flood Risk Assessments,Institute of Marine Sciences,Post-Doctoral Scholar,UC,Santa Barbara,3,https://scholar.google.com/citations/images/avatar_scholar_128.png
Anna,Kim,Chemistry and Chemical Engineering,Mechanical Engineering,Post-Doctoral Scholar,UC,Santa Barbara,1,https://bioengineering.ucsb.edu/sites/default/files/styles/big_banner_desktop/public/2020-09/Anna%20Kim_0.jpg?itok=sUenKLdC
Heather,Hodges,Political Science,Bren School of Env. Sci. & Mgmt.,Post-Doctoral Scholar,UC,Santa Barbara,7,https://www.polsci.ucsb.edu/sites/default/files/styles/people_node/public/people/photo/image1.jpeg?itok=14seqa7h
