First Name,Last Name,raceEthnicityAlt,raceEthnicity,probabilityCalibrated,probabilityAltCalibrated
Andrew,Heaney,B_NL,W_NL,0.871421962,0.921554544
Angel,De Jesus,A,HL,0.803264949,0.925422947
Anthony,Alford,W_NL,B_NL,0.722086588,0.91752491
Anthony,Banda,B_NL,HL,0.544383217,0.915218859
Anthony,Bass,W_NL,B_NL,0.748141927,0.940788568
Anthony,Bemboom,B_NL,W_NL,0.594945871,0.907181819
Anthony,Bender,B_NL,W_NL,0.422422527,0.897214396
Anthony,Castro,A,HL,0.9490558,0.979540643
Anthony,DeSclafani,W_NL,B_NL,0.494107137,0.748818077
Anthony,Gose,W_NL,B_NL,0.553367972,0.848423482
Anthony,Kay,W_NL,B_NL,0.662359702,0.908314044
Aramis,Garcia,W_NL,HL,0.949516733,0.983456321
Archie,Bradley,W_NL,B_NL,0.765038476,0.962241517
Aristides,Aquino,A,HL,0.919680105,0.978726875
Aroldis,Chapman,B_NL,W_NL,0.537604755,0.878530036
Ashton,Goudeau,W_NL,B_NL,0.627126522,0.935041016
Austin,Adams,W_NL,B_NL,0.58806998,0.947040978
Austin,Allen,B_NL,W_NL,0.483132124,0.902173937
Austin,Barnes,W_NL,B_NL,0.528461907,0.92247264
Austin,Brice,W_NL,B_NL,0.526935236,0.928949253
Austin,Davis,W_NL,B_NL,0.604066694,0.947204798
Austin,Dean,B_NL,W_NL,0.626575964,0.882989546
Austin,Gomber,B_NL,W_NL,0.775589362,0.848997502
Austin,Hays,B_NL,W_NL,0.801263741,0.934540492
Austin,Hedges,B_NL,W_NL,0.625926257,0.913233984
Bailey,Falter,B_NL,W_NL,0.90539634,0.948642096
Beau,Brieske,B_NL,W_NL,0.788972359,0.913922028
Ben,DeLuzio,HL,W_NL,0.582310269,0.757954745
Ben,Gamel,A,W_NL,0.724500168,0.852823922
Billy,Hamilton,W_NL,B_NL,0.485783972,0.935073498
Bo,Bichette,B_NL,A,0.602755663,0.758288765
Bobby,Bradley,W_NL,B_NL,0.601683929,0.967986574
Bobby,Dalbec,B_NL,W_NL,0.877479632,0.946898464
Bowden,Francis,W_NL,B_NL,0.645009512,0.911966596
Brad,Boxberger,B_NL,W_NL,0.940261752,0.964092586
Brad,Hand,B_NL,W_NL,0.84927071,0.944239779
Brad,Keller,B_NL,W_NL,0.899579209,0.960716936
Brandon,Belt,B_NL,W_NL,0.759786683,0.936403474
Brandon,Bielak,A,W_NL,0.941287386,0.969576244
Brandon,Crawford,W_NL,B_NL,0.52767863,0.947703884
Brandon,Dixon,W_NL,B_NL,0.772928303,0.963211773
Brandon,Drury,B_NL,W_NL,0.871625681,0.922957753
Brandon,Hughes,W_NL,B_NL,0.453475442,0.930188107
Braxton,Garrett,W_NL,B_NL,0.619760563,0.927085291
Brayan,Bello,B_NL,HL,0.699502321,0.875314358
Brendan,Donovan,B_NL,W_NL,0.85874015,0.92285275
Brendon,Davis,W_NL,B_NL,0.780155924,0.960265259
Brennan,Bernardino,W_NL,HL,0.824313821,0.89598855
Brett,Baty,B_NL,W_NL,0.763891089,0.959946127
Brewer,Hicklen,W_NL,B_NL,0.668779585,0.922091993
Brian,Anderson,B_NL,W_NL,0.462540557,0.938870219
Brock,Burke,B_NL,W_NL,0.483714117,0.95070097
Brusdar,Graterol,HL,W_NL,0.541194589,0.745383399
Bryan,Abreu,A,HL,0.92145636,0.942155309
Bryan,Baker,B_NL,W_NL,0.573992773,0.931183601
Bryan,De La Cruz,W_NL,A,0.490745335,0.756926982
Bryan,Garcia,A,HL,0.945573651,0.977496232
Bryan,Hoeing,A,W_NL,0.740703398,0.899664449
Bryce,Elder,B_NL,W_NL,0.522173838,0.961784332
Bryce,Harper,W_NL,B_NL,0.533332828,0.962251503
Bryce,Johnson,W_NL,B_NL,0.756209713,0.969994595
Buck,Farmer,B_NL,W_NL,0.57438874,0.897201609
Byron,Buxton,W_NL,B_NL,0.69053129,0.949502788
C.J.,Cron,B_NL,W_NL,0.678631734,0.758276478
Cade,Cavalli,HL,W_NL,0.883314339,0.912959114
Caleb,Ferguson,B_NL,W_NL,0.485183397,0.936194788
Caleb,Hamilton,B_NL,W_NL,0.445626966,0.943676589
Calvin,Faucher,W_NL,B_NL,0.497696103,0.924170205
