First Name,Last Name,White,Black,Asian,Other,Prediction,Confidence,Ground_Truth
Nomar,Mazara,0.042389523,0.409219712,0.000794454,0.07752718,Other,0.44772166,Other
Norge,Ruiz,0.712393463,5.41e-05,7.45e-05,0.02838804,White,0.712393463,White
Oliver,Ortega,5.14e-05,0.995630145,6.03e-06,8.17e-05,Black,0.995630145,Black
Oneil,Cruz,5.49e-07,0.999545991,1.58e-05,2.88e-07,Black,0.999545991,Black
Orlando,Arcia,0.010298325,0.007032578,0.005423429,0.001162953,Other,0.854293764,Other
Oscar,Gonzalez,4.78e-06,0.998443902,1.24e-05,2.37e-07,Black,0.998443902,Black
Oswald,Peraza,0.026407877,0.025733097,0.004572217,0.001779788,Other,0.889338136,Other
Oswaldo,Cabrera,0.002768483,0.001611673,0.000617897,3.25e-05,Asian,0.737005115,Other
Otto,Lopez,2.24e-05,0.997175694,3.82e-05,7.98e-06,Black,0.997175694,Black
Owen,Miller,0.999613106,1.05e-06,5.01e-06,0.000172552,White,0.999613106,White
Ozzie,Albies,0.000980498,0.945272148,0.000294169,0.001513551,Black,0.945272148,Black
P.J.,Higgins,0.989192426,2.86e-05,1.5e-05,0.004270219,White,0.989192426,White
Pablo,Reyes,0.000583373,0.551831543,0.000500815,0.000412961,Black,0.551831543,Black
Packy,Naughton,0.992147624,8.25e-06,8.77e-05,0.000649918,White,0.992147624,White
Paolo,Espino,0.256939918,0.000157298,0.001906226,0.005411408,Other,0.727209151,Other
Parker,Markel,0.999896765,1.31e-07,6.08e-07,3.79e-05,White,0.999896765,White
Parker,Mushinski,0.998456955,9.86e-08,4.4e-07,0.000127574,White,0.998456955,White
Patrick,Corbin,0.912602246,1.8e-05,6.22e-05,0.037637178,White,0.912602246,White
Patrick,Mazeika,0.986263037,1.3e-06,1.1e-05,0.001921296,White,0.986263037,White
Patrick,Murphy,0.998382092,6.55e-07,2.7e-06,0.000522914,White,0.998382092,White
Patrick,Sandoval,0.11883609,0.025882503,0.000446323,0.012799725,Other,0.810451627,Other
Patrick,Wisdom,0.9987607,2.14e-06,3.51e-06,0.00041889,White,0.9987607,White
Paul,Blackburn,0.985874951,7.85e-06,2.57e-05,0.005629316,White,0.985874951,White
Paul,DeJong,0.688241184,1.21e-06,9.48e-06,0.002717627,White,0.688241184,White
Paul,Fry,0.99967885,3.33e-08,2.17e-07,4.45e-05,White,0.99967885,White
Paul,Goldschmidt,0.941885352,2.19e-06,1.68e-05,0.001453167,White,0.941885352,White
Paul,Sewald,0.998023033,1.82e-06,1.31e-05,0.000666991,White,0.998023033,White
Pavin,Smith,0.999343932,9.42e-07,4.2e-06,4.48e-05,White,0.999343932,White
Payton,Henry,0.908196807,0.000101423,0.000136187,0.031452276,White,0.908196807,White
Pedro,Avila,0.022449866,0.157820717,0.001863128,0.053161383,Other,0.663889766,Other
Pedro,Severino,0.003092208,0.010631124,0.00156288,0.000178299,Asian,0.79742372,Other
Penn,Murfee,0.795983493,2.54e-05,0.00011637,0.096957333,White,0.795983493,White
Pete,Alonso,0.998284161,2.17e-08,5.76e-07,4.41e-05,White,0.998284161,White
Pete,Fairbanks,0.999855757,4.38e-08,6.31e-07,4e-05,White,0.999855757,White
Peter,Strzelecki,0.793028712,0.00019882,5.44e-05,0.084669299,White,0.793028712,White
Peyton,Burdick,0.998249292,2.26e-07,1.26e-06,0.000289207,White,0.998249292,White
Phil,Bickford,0.996402025,2.76e-06,7.87e-06,0.001377841,White,0.996402025,White
Phil,Gosselin,0.998399317,3.35e-07,1.92e-06,0.000459432,White,0.998399317,White
Phil,Maton,0.995282471,1.36e-07,3.6e-06,0.001723643,White,0.995282471,White
Phillip,Diehl,0.999332845,3.93e-07,2.14e-06,0.000242366,White,0.999332845,White
Phillips,Valdez,2.49e-07,0.999816477,5.5e-07,2.48e-07,Black,0.999816477,Black
Phoenix,Sanders,0.772479177,8.44e-05,0.000129388,0.039320368,White,0.772479177,White
Pierce,Johnson,0.999704778,8.9e-08,1.18e-06,0.000111145,White,0.999704778,White
R.J.,Alvarez,0.039375674,0.000153436,9.76e-05,0.03438881,Other,0.582685888,Other
Rafael,Devers,0.000206176,0.828777969,0.00230961,8.57e-06,Black,0.828777969,Black
Rafael,Montero,2.86e-06,0.996181011,1.49e-05,2.04e-06,Black,0.996181011,Black
Rafael,Ortega,0.009612628,6.08e-05,0.001747641,0.000101155,Asian,0.530131519,Other
Raimel,Tapia,8.47e-07,0.999635696,3.6e-06,2.09e-06,Black,0.999635696,Black
Raisel,Iglesias,5.38e-06,0.995895386,1.55e-05,8.29e-06,Black,0.995895386,Black
Ralph,Garza Jr.,0.042404484,0.000114224,2.13e-05,0.229244262,Other,0.675015748,Other
Randal,Grichuk,0.891096532,9.38e-06,0.00027373,0.049146987,White,0.891096532,White
