Name,Ethnicity
Toni Collette,White
Guy Pearce,Scottish
Heath Ledger,White
Emily Browning,White
Nina Hoss,White
Rosario Dawson,Not found
Kenneth Branagh,Northern
Chelsea Peretti,Not found
Neve Campbell,Not found
Patricia Arquette,Not found
Michael Fassbender,Not found
Rachael Harris,White
Danielle Panabaker,White
Chris Coy,Not found
Jodie Foster,White
Katherine LaNasa,White
Melissa Barrera,Not found
Grace Caroline Currey,Not found
Sean Connery,Scottish
Ashley Judd,Sicilian
Vincent D'Onofrio,White
Denise Richards,White
Sarah Hyland,White
Sienna Miller,Not found
Kaya Scodelario,Not found
Jennifer Morrison,White
AnnaSophia Robb,Not found
Michael Imperioli,White
Matt Bomer,White
Richard Armitage,White
Sean Astin,Not found
Ellen Pompeo,White
Rhona Mitra,Not found
Armie Hammer,White
Jack Huston,White
Malin Akerman,Swedish
Jared Leto,White
Bill Murray,White
Milana Vayntrub,White
Selena Gomez,Not found
Jonathan Banks,Not found
Julia Garner,Not found
Will Sharpe,Not found
John Schneider,Not found
Stellan Skarsg�rd,Not found
Genelle Williams,Not found
Milla Jovovich,Not found
Britt Lower,White
Jacki Weaver,White
Joel McHale,Not found
Winona Ryder,Not found
Peyton Reed,Not found
Lisa Hogan,Not found
Alexis Bledel,Danish
Demi Moore,White
Josh Lucas,Not found
Sarah Gadon,Not found
Antonio Banderas,Spanish
Amanda Schull,White
Famke Janssen,Dutch
Joseph Gordon-Levitt,White
Rose Leslie,Scottish
Norman Reedus,White
Diane Lane,White
Emily Rudd,White
Christopher Walken,Not found
Maggie Smith,White
Tom Selleck,Not found
Halston Sage,White
Andy Serkis,Armenian
Inbar Lavi,Not found
Rashida Jones,Not found
Meryl Streep,Not found
Jennifer Garner,White
Kevin Hart,Black
Indira Varma,Not found
Matthew Macfadyen,Scottish
O'Shea Jackson Jr.,Black
Allison Janney,White
Sarah Paulson,White
Scott Speedman,Scottish
Eugene Levy,Sephardi
Maya Hawke,White
Anthony Michael Hall,White
Cobie Smulders,Not found
Jack Quaid,White
Jahi Di'Allo Winston,Not found
Nell Tiger Free,White
Alice Krige,Not found
J.K. Simmons,White
Kylie Rogers,White
Tim Burton,Not found
Emily Swallow,Not found
Joseph Mawle,Not found
Martin Starr,White
Phoebe Waller-Bridge,White
Courteney Cox,White
Amy Smart,White
Diego Luna,Not found
Alexander Ludwig,Not found
Zo� Kravitz,Not found
Garret Dillahunt,White
Christopher Lloyd,White
David Lynch,Not found
Sam Worthington,White
Charles Halford,Not found
Heather Graham,White
Ben Mendelsohn,White
Jamie Dornan,Northern
Leo Suter,Not found
Katie Holmes,White
Rosa Salazar,Not found
Sheila Atim,Not found
Jacqueline Toboni,Not found
Tia Carrere,Filipino
Scott Porter,White
Kyra Sedgwick,Not found
Jason Sudeikis,Not found
Kyle MacLachlan,Scottish
Chloe Rose Robertson,Not found
Joel Kinnaman,Not found
Hilary Swank,one
Jennifer Esposito,White
Megan Mullally,White
Aaron Stanford,French
Christina Applegate,White
Kiefer Sutherland,Scottish
Dina Meyer,Jewish
Anna Madeley,Not found
Mary-Louise Parker,Swedish
Jordana Brewster,Not found
Paul Walter Hauser,White
Tom Cullen,White
John Boyega,Nigerian
Minnie Driver,White
Zooey Deschanel,French
Sophie Rundle,Not found
Sophie N�lisse,Not found
Jim Parsons,White
Mickey Rourke,Not found
Kiersey Clemons,Not found
Simon Helberg,White
Tim Curry,White
F. Murray Abraham,Not found
Olivia Munn,Not found
Tasie Lawrence,Not found
Imogen Poots,Northern
Anna Faris,White
Dominic Cooper,White
Dana Delany,Not found
Riki Lindhome,Swedish
Phoebe Tonkin,White
Hassie Harrison,White
Crystal Reed,White
Shalita Grant,Not found
Kiernan Shipka,Not found
Pablo Schreiber,White
Jameela Jamil,Not found
Laia Costa,Not found
Philip Seymour Hoffman,White
Raashi Khanna,Not found
Stephen Walters,Not found
Rina Sawayama,Not found
Kris Marshall,Not found
Dove Cameron,Austrian
Liam Hemsworth,Dutch
Emun Elliott,Not found
Jean-Claude Van Damme,Belgian
Amy Acker,White
Freema Agyeman,Not found
Anson Mount,White
Elsa Pataky,Not found
Jonathan Frakes,White
Karin Dor,Not found
Steve James,Not found
Leslie Bibb,White
Tatiana Maslany,Austrian
Jack Black,Not found
Jackie Chan,Han
Jean Louisa Kelly,Not found
Lewis Pullman,Not found
Cameron Diaz,Not found
Ariana Greenblatt,Not found
Rebecca Hall,Not found
Sigourney Weaver,Not found
Holly Hunter,White
Maria Bello,Not found
Chelsea Hobbs,Not found
Megan Boone,White
Elisabeth Shue,Not found
Seth Rogen,White
Evanna Lynch,White
Denis Villeneuve,French
Helen Shaver,Not found
Lucy Lawless,White
Kurt Russell,White
Toby Kebbell,White
Mike White,White
Angourie Rice,British
Bridget Moynahan,White
Zi�n Moreno,Not found
Emily Deschanel,French
Kat Dennings,White
Clancy Brown,White
