First Name,Last Name,Highest Prob. Score
Josh,Richardson,Black
Austin,Rivers,Black
Duncan,Robinson,Black
Mitchell,Robinson,Black
Orlando,Robinson,Other
Jeremiah,Robinson-Earl,Black
Isaiah,Roby,Black
David,Roddy,White
Ryan,Rollins,White
Derrick,Rose,Black
Terrence,Ross,Black
Terry,Rozier,Black
Ricky,Rubio,Other
D'Angelo,Russell,Black
Matt,Ryan,White
Domantas,Sabonis,White
Dario,Saric,White
Olivier,Sarr,Black
Jordan,Schakel,White
Admiral,Schofield,White
Dennis,Schroder,White
Dereon,Seabron,Black
Alperen,Sengun,Asian
Collin,Sexton,White
Landry,Shamet,Black
Day'Ron,Sharpe,Black
Shaedon,Sharpe,Black
Pascal,Siakam,Black
Chris,Silva,Other
Ben,Simmons,Black
Marko,Simonovic,White
Anfernee,Simons,Black
Jericho,Sims,Black
Marcus,Smart,Black
Dru,Smith,Black
Ish,Smith,Black
Jalen,Smith,Black
Dennis,Smith Jr.,Black
Jabari,Smith Jr.,Black
Jeremy,Sochan,Asian
Jaden,Springer,White
Lamar,Stevens,White
Isaiah,Stewart,Black
Max,Strus,White
Jalen,Suggs,Black
Edmond,Sumner,White
Cole,Swider,White
Jae'Sean,Tate,Black
Jayson,Tatum,Black
Terry,Taylor,Black
Garrett,Temple,White
Dalen,Terry,Black
Daniel,Theis,White
Cam,Thomas,Asian
Klay,Thompson,Black
JT,Thor,Asian
Matisse,Thybulle,Black
Xavier,Tillman,Black
Isaiah,Todd,Black
Obi,Toppin,Black
Juan,Toscano-Anderson,Other
Karl-Anthony,Towns,Black
Gary,Trent Jr.,White
P.J.,Tucker,Black
Myles,Turner,Black
Stanley,Umude,Black
Jonas,Valanciunas,White
Fred,VanVleet,White
Jarred,Vanderbilt,White
Devin,Vassell,Black
Gabe,Vincent,Black
Noah,Vonleh,Black
Nikola,Vucevic,White
Dean,Wade,Black
Franz,Wagner,White
Moritz,Wagner,White
Ish,Wainright,Black
Jabari,Walker,Black
Kemba,Walker,Black
Lonnie,Walker IV,Black
John,Wall,White
T.J.,Warren,Black
P.J.,Washington,Black
Duane,Washington Jr.,Black
TyTy,Washington Jr.,Black
Yuta,Watanabe,Asian
Lindy,Waters III,White
Trendon,Watford,Black
Peyton,Watson,Black
Blake,Wesley,Black
Russell,Westbrook,White
Coby,White,Black
Derrick,White,Black
Jack,White,Black
Joe,Wieskamp,White
Aaron,Wiggins,Black
Andrew,Wiggins,Black
Lindell,Wigginton,Black
Alondes,Williams,Black
Donovan,Williams,Black
Grant,Williams,Black
Jalen,Williams,Black
Jaylin,Williams,Black
Kenrich,Williams,Black
Mark,Williams,Black
Patrick,Williams,Black
Ziaire,Williams,Black
Robert,Williams III,White
Vince,Williams Jr.,Black
Zion,Williamson,Black
Dylan,Windler,White
Justise,Winslow,Black
James,Wiseman,White
Christian,Wood,White
Delon,Wright,Black
McKinley,Wright IV,Black
Thaddeus,Young,Black
Trae,Young,Black
Omer,Yurtseven,White
Cody,Zeller,White
Ivica,Zubac,White
