script,id,firstName,lastName,raceEthnicityAlt,raceEthnicity,score,raceEthnicitiesTop,probabilityCalibrated,probabilityAltCalibrated
LATIN,ad817bc2-8318-4750-89e2-14d4e30deeab,Christian,Lopes,W_NL,HL,10.502569602643801,"['HL', 'W_NL', 'B_NL', 'A']",0.818243532130528,0.9098866972702917
LATIN,2040d0d0-208b-4a7c-82a5-fc4a452cf3b8,Albert,Almora,W_NL,HL,15.871116184041421,"['HL', 'W_NL', 'A', 'B_NL']",0.9017902279443627,0.9276520031875533
LATIN,15b240dc-e193-4a30-9c4b-0328f2ce36fa,Jo,Adell,W_NL,B_NL,5.852468751665392,"['B_NL', 'W_NL', 'A', 'HL']",0.6704731180507488,0.9055153047789614
LATIN,42144aad-8b64-4834-914c-0b25e8eeb8d2,Jared,Solomon,W_NL,B_NL,2.1528068834991285,"['B_NL', 'W_NL', 'HL', 'A']",0.5189370085989612,0.9407560698200893
LATIN,94b19195-4ae1-4e70-b9e5-28c0528115e5,Travis,Blankenhorn,B_NL,W_NL,8.518806215824723,"['W_NL', 'B_NL', 'A', 'HL']",0.7622774123264954,0.916995059202981
LATIN,733238e6-dc11-4fc6-bda8-2e37afe09fc2,Kyle,Gibson,B_NL,W_NL,1.4324184657176278,"['W_NL', 'B_NL', 'A', 'HL']",0.4861843877123003,0.9357527473508354
LATIN,c7ca139b-20c6-4f42-acd6-86909d738527,Juan,Lagares,A,HL,39.1140612659877,"['HL', 'A', 'B_NL', 'W_NL']",0.9727340270379703,0.9868888242142025
LATIN,c30f4a13-080b-40ad-b63f-7285bb9eae12,Connor,Sadzeck,B_NL,W_NL,8.37393801251246,"['W_NL', 'B_NL', 'A', 'HL']",0.7596194928083312,0.8668828262836648
LATIN,21b5a453-2f22-4e43-8982-0fb735d705cd,Grayson,Greiner,B_NL,W_NL,13.791845664682173,"['W_NL', 'B_NL', 'HL', 'A']",0.8756323721559911,0.938389010851925
LATIN,dda6f5cd-270f-41ea-9df8-a5dfc7085dff,Zach,Logue,B_NL,W_NL,8.400248618287101,"['W_NL', 'B_NL', 'A', 'HL']",0.7601312523704401,0.9062246337905955
