First Name,Last Name,White,Black,Asian,Other,Highest Prob. Score,Ground_Truth
Roberto_Pérez,,0.763192952,0.000356084,0.015093397,0.221357614,White,Other
Robert_Dugger,,0.126160398,0.000778032,0.023368499,0.849693001,Other,Other
Robert_Gsellman,,0.833724976,2.21E-05,0.004091162,0.162161812,White,White
Robert_Stephenson,,0.211727321,4.61E-05,0.186717171,0.601509444,Other,White
Robert_Suarez,,0.025420511,0.000591444,0.295027552,0.678960547,Other,Other
Robinson_Canó,,0.000218049,0.812022269,0.167032346,0.020727256,Black,Black
Robinson_Chirinos,,0.045511425,0.001216014,0.016900069,0.936372468,Other,Other
Rob_Brantly,,0.985236406,5.10E-06,0.001176975,0.013581523,White,White
Rob_Refsnyder,,0.00093556,4.72E-05,0.993975087,0.005042097,Asian,Asian
Rob_Zastryzny,,0.996483803,1.36E-06,0.00062807,0.002886745,White,White
Rodolfo_Castro,,1.24E-05,0.998759985,0.000542062,0.000685641,Black,Black
Roenis_Elías,,5.60E-06,0.99912256,0.000682144,0.000189726,Black,Black
Roman_Quinn,,2.33E-07,0.999966145,2.11E-05,1.26E-05,Black,Black
Romy_Gonzalez,,0.363857329,0.00036401,0.006300989,0.629477672,Other,Other
Ronald_Acuña Jr.,,5.04E-05,0.960984111,0.036923885,0.002041586,Black,Black
Ronald_Bolaños,,0.000884952,0.694517434,0.288083703,0.016513939,Black,Black
Ronald_Guzmán,,0.01494309,0.036724266,0.189743779,0.75858885,Other,Other
Ronel_Blanco,,0.001209579,0.655912817,0.243893679,0.098983885,Black,Black
Ronnie_Dawson,,8.29E-06,0.998721659,0.001000487,0.000269482,Black,Black
Ronny_Henriquez,,0.009589652,0.168105885,0.009935426,0.812368971,Other,Black
Rony_García,,0.000692577,0.062853485,0.895848992,0.040604962,Asian,Other
Ron_Marinaccio,,0.925278068,9.90E-06,0.000594502,0.07411755,White,White
Ross_Detwiler,,0.997678339,1.50E-07,2.38E-05,0.002297745,White,White
Ross_Stripling,,0.988202631,1.04E-06,5.42E-05,0.011742075,White,White
Rougned_Odor,,0.014786572,0.001812113,0.696687791,0.286713511,Asian,Other
Rowan_Wick,,0.996904194,3.78E-07,6.53E-05,0.003030018,White,White
Rowdy_Tellez,,0.922055185,0.000146738,0.002682658,0.075115584,White,White
Royce_Lewis,,0.698614538,7.01E-05,0.004165735,0.297149546,White,White
Ryan_Aguilar,,0.289367408,0.000638752,0.004267005,0.705726803,Other,Other
Ryan_Borucki,,0.998877347,8.03E-07,6.91E-05,0.001052712,White,White
Ryan_Brasier,,0.998354554,5.33E-07,1.05E-05,0.00163438,White,White
