Name,First_name,Last_name,Href,Player_headshot
Dominic Smith,Dominic,Smith,/player/dominic-smith-642086,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/642086/headshot/67/current"
Joe Smith,Joe,Smith,/player/joe-smith-501925,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/501925/headshot/67/current"
Josh H. Smith,Josh,H. Smith,/player/josh-h-smith-669701,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/669701/headshot/67/current"
Kevin Smith,Kevin,Smith,/player/kevin-smith-675656,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/675656/headshot/67/current"
Pavin Smith,Pavin,Smith,/player/pavin-smith-656976,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/656976/headshot/67/current"
Chad Smith,Chad,Smith,/player/chad-smith-663385,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/663385/headshot/67/current"
Will Smith,Will,Smith,/player/will-smith-519293,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/519293/headshot/67/current"
Will Smith,Will,Smith,/player/will-smith-669257,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/669257/headshot/67/current"
Canaan Smith-Njigba,Canaan,Smith-Njigba,/player/canaan-smith-njigba-675986,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/675986/headshot/67/current"
Drew Smyly,Drew,Smyly,/player/drew-smyly-592767,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/592767/headshot/67/current"
Kirby Snead,Kirby,Snead,/player/kirby-snead-669912,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/669912/headshot/67/current"
