Name,First_name,Last_name,Href,Player_headshot
Yandy Díaz,Yandy,Díaz,/player/yandy-diaz-650490,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/650490/headshot/67/current"
Yusniel Díaz,Yusniel,Díaz,/player/yusniel-diaz-666783,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/666783/headshot/67/current"
Alex Dickerson,Alex,Dickerson,/player/alex-dickerson-543105,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/543105/headshot/67/current"
Corey Dickerson,Corey,Dickerson,/player/corey-dickerson-572816,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/572816/headshot/67/current"
Phillip Diehl,Phillip,Diehl,/player/phillip-diehl-670426,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/670426/headshot/67/current"
Jake Diekman,Jake,Diekman,/player/jake-diekman-518617,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/518617/headshot/67/current"
Wilmer Difo,Wilmer,Difo,/player/wilmer-difo-594694,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/594694/headshot/67/current"
Marcos Diplán,Marcos,Diplán,/player/marcos-diplan-650959,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/650959/headshot/67/current"
Brandon Dixon,Brandon,Dixon,/player/brandon-dixon-641525,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/641525/headshot/67/current"
Seranthony Domínguez,Seranthony,Domínguez,/player/seranthony-dominguez-622554,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/622554/headshot/67/current"
Josh Donaldson,Josh,Donaldson,/player/josh-donaldson-518626,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/518626/headshot/67/current"
Brendan Donovan,Brendan,Donovan,/player/brendan-donovan-680977,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/680977/headshot/67/current"
Sean Doolittle,Sean,Doolittle,/player/sean-doolittle-448281,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/448281/headshot/67/current"
Camilo Doval,Camilo,Doval,/player/camilo-doval-666808,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/666808/headshot/67/current"
Kyle Dowdy,Kyle,Dowdy,/player/kyle-dowdy-664871,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/664871/headshot/67/current"
Jeter Downs,Jeter,Downs,/player/jeter-downs-669023,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/669023/headshot/67/current"
Hunter Dozier,Hunter,Dozier,/player/hunter-dozier-641531,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/641531/headshot/67/current"
Brandon Drury,Brandon,Drury,/player/brandon-drury-592273,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/592273/headshot/67/current"
Daniel Duarte,Daniel,Duarte,/player/daniel-duarte-650960,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/650960/headshot/67/current"
Mauricio Dubón,Mauricio,Dubón,/player/mauricio-dubon-643289,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/643289/headshot/67/current"
Tyler Duffey,Tyler,Duffey,/player/tyler-duffey-608648,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/608648/headshot/67/current"
Matt Duffy,Matt,Duffy,/player/matt-duffy-622110,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/622110/headshot/67/current"
Steven Duggar,Steven,Duggar,/player/steven-duggar-621453,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/621453/headshot/67/current"
Robert Dugger,Robert,Dugger,/player/robert-dugger-667498,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/667498/headshot/67/current"
Joe Dunand,Joe,Dunand,/player/joe-dunand-656388,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/656388/headshot/67/current"
Justin Dunn,Justin,Dunn,/player/justin-dunn-643290,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/643290/headshot/67/current"
Dane Dunning,Dane,Dunning,/player/dane-dunning-641540,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/641540/headshot/67/current"
Ezequiel Duran,Ezequiel,Duran,/player/ezequiel-duran-677649,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/677649/headshot/67/current"
Jarren Duran,Jarren,Duran,/player/jarren-duran-680776,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/680776/headshot/67/current"
Jhoan Duran,Jhoan,Duran,/player/jhoan-duran-661395,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/661395/headshot/67/current"
Nick Duron,Nick,Duron,/player/nick-duron-663975,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/663975/headshot/67/current"
Adam Duvall,Adam,Duvall,/player/adam-duvall-594807,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/594807/headshot/67/current"
Travis d'Arnaud,Travis,d'Arnaud,/player/travis-d-arnaud-518595,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/518595/headshot/67/current"
Jacob deGrom,Jacob,deGrom,/player/jacob-degrom-594798,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/594798/headshot/67/current"
Nate Eaton,Nate,Eaton,/player/nate-eaton-681987,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/681987/headshot/67/current"
Tommy Edman,Tommy,Edman,/player/tommy-edman-669242,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/669242/headshot/67/current"
